UID          PID    PPID  C STIME TTY          TIME CMD
message+     160       1  0 Jan14 ?        00:00:48 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd    13253       1  0 Jan14 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root           1       0  0 Jan14 ?        00:04:57 /sbin/init
root           2       1  0 Jan14 ?        00:00:05 /init
root           6       2  0 Jan14 ?        00:00:00 plan9 --control-socket 6 --log-level 4 --server-fd 7 --pipe-fd 9 --log-truncate
root          54       1  0 Jan14 ?        00:02:18 /usr/lib/systemd/systemd-journald
root          99       1  0 Jan14 ?        00:02:15 /usr/lib/systemd/systemd-udevd
root         158       1  0 Jan14 ?        00:00:01 /usr/sbin/cron -f -P
root         173       1  0 Jan14 ?        00:00:17 /usr/lib/systemd/systemd-logind
root         185       1  0 Jan14 hvc0     00:00:00 /sbin/agetty -o -p -- \u --noclear --keep-baud - 115200,38400,9600 vt220
root         202       1  0 Jan14 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         212       1  0 Jan14 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         318       2  0 Jan14 pts/1    00:00:00 /bin/login -f
root         418       1  0 Jan14 ?        00:00:03 /usr/lib/systemd/systemd --user
root         419     418  0 Jan14 ?        00:00:00 (sd-pam)
root         442     318  0 Jan14 pts/1    00:00:00 -bash
root        3046       2  0 Jan14 ?        00:00:00 /init
root        3047    3046  0 Jan14 ?        00:00:01 /init
root        3048    3047  0 Jan14 pts/2    00:00:00 sh -c "$VSCODE_WSL_EXT_LOCATION/scripts/wslServer.sh" 91fbdddc47bc9c09064bf7acf133d22631cbf083 stable code-server .vscode-server --host=127.0.0.1 --port=0 --connection-token=1346766576-3305674634-3183687945-528161533 --use-host-proxy --without-browser-env-var --disable-websocket-compression --accept-server-license-terms --telemetry-level=all
root        3049    3048  0 Jan14 pts/2    00:00:00 sh /mnt/c/Users/justs/.vscode/extensions/ms-vscode-remote.remote-wsl-0.88.5/scripts/wslServer.sh 91fbdddc47bc9c09064bf7acf133d22631cbf083 stable code-server .vscode-server --host=127.0.0.1 --port=0 --connection-token=1346766576-3305674634-3183687945-528161533 --use-host-proxy --without-browser-env-var --disable-websocket-compression --accept-server-license-terms --telemetry-level=all
root        3054    3049  0 Jan14 pts/2    00:00:00 sh /root/.vscode-server/bin/91fbdddc47bc9c09064bf7acf133d22631cbf083/bin/code-server --host=127.0.0.1 --port=0 --connection-token=1346766576-3305674634-3183687945-528161533 --use-host-proxy --without-browser-env-var --disable-websocket-compression --accept-server-license-terms --telemetry-level=all
root        3058    3054  0 Jan14 pts/2    00:02:22 /root/.vscode-server/bin/91fbdddc47bc9c09064bf7acf133d22631cbf083/node /root/.vscode-server/bin/91fbdddc47bc9c09064bf7acf133d22631cbf083/out/server-main.js --host=127.0.0.1 --port=0 --connection-token=1346766576-3305674634-3183687945-528161533 --use-host-proxy --without-browser-env-var --disable-websocket-compression --accept-server-license-terms --telemetry-level=all
root        3314    3058  0 Jan14 pts/2    00:02:01 /root/.vscode-server/bin/91fbdddc47bc9c09064bf7acf133d22631cbf083/node /root/.vscode-server/bin/91fbdddc47bc9c09064bf7acf133d22631cbf083/out/bootstrap-fork --type=ptyHost --logsPath /root/.vscode-server/data/logs/20250114T101745
root        4062    3058  0 Jan14 pts/2    00:00:42 /root/.vscode-server/bin/91fbdddc47bc9c09064bf7acf133d22631cbf083/node /root/.vscode-server/bin/91fbdddc47bc9c09064bf7acf133d22631cbf083/out/bootstrap-fork --type=fileWatcher
